delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
236.27482552728003,149.15328928705242,121.35955966612227,224.16957938414055,0.5413739009527184,0.6653591878827634,1.0540003963802589,1.2290196973142844,1.9468991662239572,0.8964814079966904,1
223.43257525939262,140.67292160851218,123.61713347110553,222.1377166898759,0.5564887193095898,0.6332689635272706,1.0058290802156955,1.1379726875918321,1.8074563694005905,0.9496007424639875,1
221.81422560162088,140.63575213945379,125.74245703810405,223.07084557510225,0.5636884403872929,0.630453306333594,0.9943667225080818,1.1184428509841873,1.7640360370435895,0.9623763940810335,1
219.87483758399355,143.09294079028587,125.36806185580777,226.03034269640867,0.5546514700647742,0.6330696095191092,0.9727669080222435,1.1413827307537416,1.7538345438958998,0.9681256174476924,1
212.50306321030834,138.63923718707898,123.05223685576667,229.60381442944416,0.5359328945015409,0.603819398783037,0.9255206135767802,1.1266697845532245,1.7269337692689792,1.0043109328785236,1
194.39204302764907,127.43655727785134,118.55947610432888,230.52915164931545,0.5142927705936445,0.5528001832571259,0.8432427813874112,1.0748744973005016,1.639616245070025,1.0847035578014725,1
167.64937207307037,112.5115375701396,112.57473820992804,228.41316093072714,0.49285574329961473,0.4925790489115553,0.7339742219316113,0.9994385895024638,1.489227287923511,1.2171144774440859,1
141.6465219777348,99.76234062189279,108.24804966571537,226.97792770381653,0.4769100271589766,0.4395244138102832,0.624054168661586,0.9216086657447631,1.3085364809357622,1.3886233245939208,1
132.5272408414808,94.6130187456318,106.42446430801196,229.03933819268212,0.4646558322591776,0.4130863260966876,0.5786221785621413,0.8890156916534185,1.2452704526463256,1.4769015546186666,1
143.75159332516074,100.83801408305946,108.17911571157207,233.9346740164381,0.46243301112331275,0.43105202128340236,0.6144945973894388,0.9321393821697942,1.328829436066313,1.3987257813330638,1
165.69698658458523,110.99551578738526,110.09524222800377,239.05397371090675,0.4605455434141596,0.46431152791300007,0.6931362989387755,1.008177224929639,1.5050331261493752,1.2618672820759456,1
183.0393363038457,121.68874566877511,109.48740779389779,243.04000506478627,0.45049129983646985,0.5006943018962536,0.7531243107695524,1.1114405585146876,1.6717843630785756,1.1568589628387382,1
192.6929700950413,130.38199374388273,107.02317462297344,242.77652647384826,0.4408299936464488,0.5370453051519682,0.793705111831716,1.2182594489763445,1.8004789221948392,1.0827199264849934,1
196.84725558550272,135.93748706932172,103.36086819208506,239.1827236733853,0.4321418646157276,0.5683415799501909,0.822999473215743,1.3151736188660539,1.9044659650079878,1.0293248095834975,1
197.2407479095102,138.9746870356871,98.41942182207701,235.6674384771431,0.4176199412954646,0.5897067831420673,0.8369452699280735,1.4120656722300813,2.0040835869375733,0.9936690156823877,1
194.30564323676796,139.73158873262247,94.08951125786461,235.72427452602895,0.3991507087976005,0.5927755595539785,0.8242920404674424,1.4850920879976703,2.065114810770437,0.9873563609643254,1
189.34455626835285,136.88399998156774,91.27256565035655,236.31259734643797,0.38623656409035845,0.5792496951861337,0.8012461392008263,1.499727755062104,2.0744958237909814,1.0041584549264124,1
185.51045929525296,132.79019744021005,90.92686163548365,234.6528663664198,0.38749520959824,0.5659005981748924,0.7905740175599261,1.4604066944766243,2.04021623487837,1.0228685398927404,1
187.42273828578703,130.92062088958684,92.82247365126632,233.99296963499953,0.39668915607190275,0.5595066428440437,0.8009759377734452,1.4104409820132042,2.01915259218294,1.0266130386160335,1
